                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.8867,                 4.9547,                  4.233,                      0,                      0,                      0,                      0,                  5.024,                 4.7811,                 4.1587,              4.669e-05,              4.669e-05,              4.669e-05
                      2,                 4.6305,                 4.8762,                 4.2179,                  7e-05,                0.00413,                  6e-05,                  4e-05,                 5.0221,                 4.7786,                 4.1575,             9.9984e-05,             9.9984e-05,             9.9984e-05
                      3,                 4.7482,                 4.7631,                 4.1584,                  7e-05,                0.00413,                  4e-05,                  3e-05,                 5.0185,                 4.7725,                  4.157,             0.00015321,             0.00015321,             0.00015321
                      4,                 4.5216,                  4.488,                 4.1348,                  7e-05,                0.00413,                  4e-05,                  3e-05,                 5.0157,                 4.7703,                 4.1577,             0.00020636,             0.00020636,             0.00020636
                      5,                 4.4148,                 4.2332,                 4.0982,                  6e-05,                0.00413,                  4e-05,                  2e-05,                  5.012,                 4.7778,                 4.1638,             0.00025944,             0.00025944,             0.00025944
                      6,                  4.114,                 3.9722,                 4.0395,                0.00043,                0.00576,                0.00027,                  7e-05,                 5.0031,                 4.7923,                   4.18,             0.00031246,             0.00031246,             0.00031246
                      7,                 3.9013,                 3.7236,                  3.923,                0.00088,                 0.0103,                0.00129,                0.00024,                 5.0042,                 4.8867,                 4.2301,              0.0003654,              0.0003654,              0.0003654
                      8,                 3.7327,                 3.4716,                 3.8667,                0.00018,                0.01677,                0.00022,                  4e-05,                  5.013,                 4.8587,                 4.2096,             0.00041827,             0.00041827,             0.00041827
                      9,                 3.5087,                 3.3107,                 3.7559,                0.00022,                0.02174,                0.00046,                  7e-05,                 4.9529,                 4.9812,                 4.3081,             0.00047107,             0.00047107,             0.00047107
                     10,                 3.2894,                    3.1,                 3.5951,                0.00036,                0.02336,                0.00181,                0.00064,                 4.9066,                 5.0389,                  4.354,              0.0005238,              0.0005238,              0.0005238
                     11,                 3.2532,                 2.9746,                 3.3203,                0.00036,                0.02336,                0.00181,                0.00064,                 4.8452,                  5.113,                 4.4736,             0.00057646,             0.00057646,             0.00057646
                     12,                 3.1172,                 2.7995,                 3.1954,                  7e-05,                0.00413,                0.00413,                 0.0033,                 4.8722,                 5.0848,                 4.4531,             0.00062905,             0.00062905,             0.00062905
                     13,                 2.8763,                 2.7953,                 3.0615,                0.36501,                0.00536,                0.00562,                0.00318,                 4.8339,                 5.0105,                 4.3975,             0.00066172,             0.00066172,             0.00066172
                     14,                 2.8545,                 2.6565,                 2.9489,                0.91969,                0.00413,                 0.0012,                0.00024,                  4.837,                 5.9618,                 4.3064,             0.00066128,             0.00066128,             0.00066128
                     15,                 2.7639,                 2.6116,                 2.9161,                0.00249,                0.04116,                0.00245,                0.00075,                  4.773,                  5.553,                 4.1305,             0.00066084,             0.00066084,             0.00066084
                     16,                 2.6344,                 2.4618,                 2.7092,                0.00715,                0.05703,                0.00797,                 0.0019,                 4.5475,                  4.288,                  3.978,              0.0006604,              0.0006604,              0.0006604
                     17,                 2.5278,                 2.2784,                 2.5594,                0.39837,                0.03636,                 0.0374,                0.01307,                 3.7984,                 3.8841,                 3.5142,             0.00065996,             0.00065996,             0.00065996
                     18,                 2.3732,                  2.223,                 2.5282,                0.03633,                0.35494,                0.11091,                0.04989,                 3.1834,                 3.3607,                 3.1728,             0.00065952,             0.00065952,             0.00065952
                     19,                 2.4964,                  2.251,                 2.4863,                0.50233,                0.23179,                0.26137,                0.14528,                 2.5588,                 2.6426,                 2.7904,             0.00065908,             0.00065908,             0.00065908
                     20,                 2.2885,                 2.0494,                 2.3219,                0.51443,                0.31441,                0.33563,                0.18553,                 2.2722,                 2.2666,                 2.5307,             0.00065864,             0.00065864,             0.00065864
                     21,                 2.2209,                 2.0646,                 2.3467,                0.37097,                0.44493,                0.39822,                0.23924,                 2.1448,                 2.1225,                 2.3573,              0.0006582,              0.0006582,              0.0006582
                     22,                 2.2946,                 2.1255,                  2.293,                0.50793,                0.47356,                0.48031,                0.26311,                 1.9294,                 1.8599,                 2.1799,             0.00065776,             0.00065776,             0.00065776
